"NĂˇzev souboru";"ZemÄ›pisnĂˇ ĹˇĂ­Ĺ™ka";"ZemÄ›pisnĂˇ dĂ©lka"
"01.JPG";;
"02.jpg";;
"03.JPG";;
"04.jpg";;
"05.jpg";"50,742828";"15,05898"
"06.jpg";;
"07.jpg";;
"08.jpg";"50,793518";"15,0889"
"09.jpg";"50,762238";"15,049999"
"10.jpg";"50,763733";"15,04687"
"11.jpg";"50,751038";"15,032616"
"12.jpg";"50,751165";"15,033925"
"13.jpg";;
"14.jpg";"50,773975";"14,983534"
"15.jpg";;
"16.jpg";"50,781135";"15,069519"
"17.jpg";;
"18.jpg";;
"19.jpg";"50,765062";"15,057676"
"20.jpg";"50,767408";"15,055995"
"21.jpg";"50,768428";"15,054541"
"22.jpg";"50,770974";"15,051389"
"23.jpg";"50,776097";"15,048884"
"24.jpg";"50,775477";"15,034832"
"25.jpg";"50,771106";"15,0342"
"26.jpg";"50,759324";"15,03851"
"27.jpg";"50,756575";"15,043068"
"28.jpg";"50,761812";"15,047424"
"29.jpg";"50,762303";"15,048451"
"30.jpg";"50,765838";"15,052588"
"31.jpg";"50,765767";"15,053713"
"32.jpg";"50,766712";"15,054541"
"33.jpg";"50,76719";"15,055428"
"34.jpg";"50,767105";"15,056261"
"35.jpg";"50,767852";"15,057029"
"36.jpg";"50,769009";"15,05725"
"37.jpg";"50,768514";"15,060516"
"38.jpg";"50,768478";"15,060437"
"39.jpg";"50,757943";"15,05999"
"40.jpg";"50,760275";"15,052582"
"41.jpg";"50,760242";"15,05247"
"42.jpg";"50,759969";"15,052263"
"43.jpg";"50,76603";"15,05767"
"44.jpg";"50,767756";"15,058039"
"45.jpg";"50,768897";"15,058358"
"46.jpg";"50,769251";"15,057933"
"47.jpg";"50,771076";"15,055999"
"48.jpg";"50,770629";"15,05825"
"49.jpg";"50,770971";"15,059295"
"50.jpg";"50,771728";"15,058985"
"51.jpg";"50,77407";"15,061712"
"52.jpg";"50,77479";"15,062116"
"53.jpg";"50,774199";"15,064687"
"54.jpg";"50,774428";"15,0713"
"55.jpg";"50,7761";"15,074275"
"56.jpg";"50,776477";"15,077712"
"57.jpg";"50,777718";"15,081204"
